0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:12 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:19 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:19 +0530] "POST /server/api/authn/logout HTTP/1.1" 403 173
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:29 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:44 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:44 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Jun/2025:01:15:46 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
