0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/2440d13d-e4e6-4fd4-89a0-c6c4b75f0c47/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/items/b389a191-0eca-47f7-9397-c9622e90ef75/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/e03c8df2-af15-4e68-9c26-d7cadfbf557e/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/b389a191-0eca-47f7-9397-c9622e90ef75/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/bundles/784b0097-31c7-4d51-88b7-8688a02eefe6/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/784b0097-31c7-4d51-88b7-8688a02eefe6/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/e03c8df2-af15-4e68-9c26-d7cadfbf557e/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/a8e8dd19-deb2-4af0-84c5-5d716026f775/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/784b0097-31c7-4d51-88b7-8688a02eefe6/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/8bf853a1-d40e-476f-aadd-7b7201d123b3/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/8bf853a1-d40e-476f-aadd-7b7201d123b3/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/bundles/1916bf1d-8e39-49c5-8863-7496e0bc4069/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/1916bf1d-8e39-49c5-8863-7496e0bc4069/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/1916bf1d-8e39-49c5-8863-7496e0bc4069/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/f929b0c6-6f0b-45c6-a55a-2e326b472ee4/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/f929b0c6-6f0b-45c6-a55a-2e326b472ee4/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/bundles/0fcec1b7-8f73-485b-a774-4186dad2aee7/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/0fcec1b7-8f73-485b-a774-4186dad2aee7/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/0fcec1b7-8f73-485b-a774-4186dad2aee7/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/items/009c4094-48ec-481e-90bb-b9eb34c98a3b/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/items/009c4094-48ec-481e-90bb-b9eb34c98a3b/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "OPTIONS /server/api/core/bundles/4107798c-fe45-4c6d-9ad0-6028701a160e/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/4107798c-fe45-4c6d-9ad0-6028701a160e/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:59 +0530] "GET /server/api/core/bundles/4107798c-fe45-4c6d-9ad0-6028701a160e/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
