0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:48 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 23517
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:49 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 23517
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:49 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 23517
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:49 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 23517
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:49 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:50 +0530] "OPTIONS /server/api/core/communities/95d68496-65b6-4ea5-a86a-483b608d5ecb/collections HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:08:50 +0530] "GET /server/api/core/communities/95d68496-65b6-4ea5-a86a-483b608d5ecb/collections HTTP/1.1" 200 16596
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:10 +0530] "OPTIONS /server/api/core/communities/95d68496-65b6-4ea5-a86a-483b608d5ecb HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:13 +0530] "DELETE /server/api/core/communities/95d68496-65b6-4ea5-a86a-483b608d5ecb HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/core/communities HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/core/communities HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jul/2025:11:09:20 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
