0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:02:44 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:05:17 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:05:17 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:05:33 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:05:33 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:11:58 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:00 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:00 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:00 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:12:15 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 14259
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:15:34 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:15:35 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:15:35 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:15:35 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:16:03 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:01:16:03 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
